DATE,PDF FILE,TT BUY,TT SELL,BILL BUY,BILL SELL,FOREX TRAVEL CARD BUY,FOREX TRAVEL CARD SELL,CN BUY,CN SELL
2020-01-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-04.pdf,0.00,0.00,230.39,243.80,0.00,0.00,224.05,247.40
2020-01-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-06.pdf,231.55,244.34,231.36,244.85,0.00,0.00,225.00,248.45
2020-01-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-07.pdf,230.6,243,230.45,243.47,0,0224.2,247.2,230.29
2020-01-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-08.pdf,231.3,244.05,231.08,244.52,0,0224.6,248.2,230.92
2020-01-10 16:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-10.pdf,227.9,240.1,227.67,240.57,0,0221.4,244.2,227.52
2020-01-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-13.pdf,227.4,239.96,227.16,240.43,0,0220.9,244,227.01
2020-01-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-15.pdf,228,240.22,227.79,240.7,0,0221.4,244.3,227.64
2020-01-17 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-17.pdf,227.9,240.16,227.72,240.63,0,0221.4,244.3,227.58
2020-01-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-18.pdf,0,0,227.7,241,0,0221.3,244.6,227.55
2020-01-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-20.pdf,228.2,240.49,228.05,240.96,0,0221.7,244.6,227.9
2020-01-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-21.pdf,228.5,240.8,228.34,241.27,0,0,222,245
2020-01-22 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-22.pdf,228.5,240.76,228.31,241.23,0,0,222,244.8
2020-01-23 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-23.pdf,228.7,240.96,228.5,241.43,0,0222.3,245.1,228.35
2020-01-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-24.pdf,229,241.3,228.82,241.77,0,0222.6,245.5,228.68
2020-01-27 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-27.pdf,229.4,241.74,229.24,242.21,0,0,223,245.8
2020-01-28 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-28.pdf,228.9,241.59,228.72,242.06,0,0222.3,245.7,228.58
2020-01-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-29.pdf,228.7,241,228.53,241.47,0,0222.3,245.1,228.39
2020-01-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-30.pdf,228.8,241.43,228.58,241.9,0,0222.2,245.5,228.43
2020-01-31 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/1/2020-01-31.pdf,229.1,241.41,228.94,241.88,0,0222.6,245.5,228.79
2020-02-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-01.pdf,0.00,0.00,228.81,242.15,0.00,0.00,222.50,245.75
2020-02-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-03.pdf,229.49,242.19,229.30,242.66,0.00,0.00,222.85,246.25
2020-02-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-04.pdf,228.45,240.71,228.26,241.18,0.00,0.00,222.00,244.75
2020-02-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-05.pdf,228.10,240.34,227.91,240.81,0.00,0.00,221.75,244.50
2020-02-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-06.pdf,228.45,240.71,228.26,241.18,0.00,0.00,222.00,244.75
2020-02-07 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-07.pdf,228.52,240.78,228.32,241.25,0.00,0.00,222.00,244.90
2020-02-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-10.pdf,228.94,241.21,228.74,241.68,0.00,0.00,222.30,245.25
2020-02-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-11.pdf,228.45,240.71,228.26,241.18,0.00,0.00,222.00,244.75
2020-02-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-12.pdf,228.36,240.61,228.16,241.08,0.00,0.00,222.00,244.75
2020-02-13 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-13.pdf,228.30,240.55,228.11,241.01,0.00,0.00,221.70,244.60
2020-02-14 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-14.pdf,228.01,240.24,227.82,240.71,0.00,0.00,221.40,244.30
2020-02-15 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-15.pdf,0.00,0.00,228.06,241.36,0.00,0.00,221.80,244.95
2020-02-18 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-18.pdf,228.33,240.58,228.14,241.05,0.00,0.00,221.70,244.60
2020-02-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-20.pdf,228.64,240.88,228.44,241.35,0.00,0.00,222.15,244.90
2020-02-21 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-21.pdf,228.48,240.71,228.28,241.18,0.00,0.00,221.85,244.75
2020-02-24 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-24.pdf,228.44,241.06,228.24,241.52,0.00,0.00,221.85,245.10
2020-02-25 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-25.pdf,228.92,241.18,228.73,241.65,0.00,0.00,222.50,245.25
2020-02-26 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-26.pdf,228.48,240.71,228.28,241.18,0.00,0.00,221.85,244.75
2020-02-27 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-27.pdf,227.89,240.18,227.70,240.65,0.00,0.00,221.55,244.30
2020-02-28 12:05,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/2/2020-02-28.pdf,229.67,242.03,229.48,242.53,0.00,0.00,223.05,246.05
2020-03-03 12:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-03.pdf,232.09,244.48,231.90,244.98,0.00,0.00,225.55,248.55
2020-03-04 10:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-04.pdf,233.48,245.92,233.29,246.42,0.00,0.00,226.75,250.00
2020-03-05 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-05.pdf,233.76,246.22,233.57,246.72,0.00,0.00,227.20,250.30
2020-03-06 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-06.pdf,235.52,248.05,235.33,248.55,0.00,0.00,228.75,252.20
2020-03-12 09:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-12.pdf,235.92,248.54,235.73,249.04,0.00,0.00,229.25,252.75
2020-03-13 10:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-13.pdf,234.55,247.56,234.36,248.06,0.00,0.00,227.85,251.65
2020-03-16 15:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-16.pdf,234.59,247.31,234.40,247.80,0.00,0.00,227.85,251.40
2020-03-17 09:32,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-17.pdf,233.75,246.71,233.55,247.21,0.00,0.00,227.15,250.95
2020-03-18 13:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-18.pdf,233.44,245.97,233.25,246.47,0.00,0.00,226.90,250.05
2020-03-19 00:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-19.pdf,235.41,248.08,235.22,248.58,0.00,0.00,228.70,252.30
2020-03-20 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-20.pdf,234.28,247.14,234.10,247.63,0.00,0.00,227.55,251.30
2020-03-21 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-21.pdf,0.00,0.00,235.34,248.92,0.00,0.00,228.95,252.65
2020-03-23 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-23.pdf,238.37,251.00,238.18,251.49,0.00,0.00,231.45,255.25
2020-03-24 09:44,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-24.pdf,237.02,250.23,236.84,250.72,0.00,0.00,230.30,254.50
2020-03-26 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-26.pdf,233.03,245.79,232.84,246.27,0.00,0.00,226.35,250.00
2020-03-27 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-27.pdf,234.41,247.58,234.22,248.07,0.00,0.00,227.70,251.70
2020-03-30 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-30.pdf,233.77,246.57,233.58,247.05,0.00,0.00,226.95,250.75
2020-03-31 10:13,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/3/2020-03-31.pdf,233.50,246.43,233.31,246.91,0.00,0.00,226.70,250.65
2020-04-04 10:40,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-04.pdf,0.00,0.00,238.69,252.34,0.00,0.00,231.95,256.15
2020-04-13 10:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-13.pdf,238.94,252.15,238.75,252.65,0.00,0.00,232.15,256.45
2020-04-20 10:25,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-20.pdf,238.81,252.15,238.62,252.64,0.00,0.00,232.05,256.45
2020-04-29 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-29.pdf,238.06,251.42,237.87,251.92,0.00,0.00,231.30,255.70
2020-04-30 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/4/2020-04-30.pdf,236.43,249.32,236.24,249.81,0.00,0.00,229.70,253.60
2020-05-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/5/2020-05-12.pdf,238.46,251.44,238.27,251.93,0.00,0.00,231.50,255.70
2020-05-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/5/2020-05-30.pdf,0.00,0.00,238.71,252.40,0.00,0.00,232.10,256.20
2020-06-02 16:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-02.pdf,237.80,250.59,237.61,251.09,0.00,0.00,231.15,254.85
2020-06-03 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-03.pdf,237.61,250.40,237.42,250.90,0.00,0.00,230.85,254.70
2020-06-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-04.pdf,238.91,251.81,238.72,252.31,0.00,0.00,231.95,256.15
2020-06-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-05.pdf,238.64,251.28,238.45,251.77,0.00,0.00,231.85,255.60
2020-06-06 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-06.pdf,0.00,0.00,238.88,252.55,0.00,0.00,232.35,256.30
2020-06-08 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-08.pdf,239.73,252.45,239.54,252.95,0.00,0.00,232.80,256.80
2020-06-09 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-09.pdf,238.97,251.66,238.78,252.15,0.00,0.00,232.15,255.95
2020-06-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-10.pdf,239.11,251.80,238.92,252.30,0.00,0.00,232.30,256.10
2020-06-11 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-11.pdf,240.20,252.94,240.01,253.43,0.00,0.00,233.20,257.25
2020-06-12 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-12.pdf,241.15,253.93,240.96,254.43,0.00,0.00,234.15,258.25
2020-06-16 13:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-16.pdf,241.27,254.02,241.08,254.52,0.00,0.00,234.40,258.40
2020-06-17 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-17.pdf,241.50,254.50,241.31,255.00,0.00,0.00,234.75,258.80
2020-06-18 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-18.pdf,241.21,254.36,241.01,254.86,0.00,0.00,234.20,258.70
2020-06-19 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-19.pdf,241.67,254.44,241.48,254.94,0.00,0.00,234.65,258.80
2020-06-20 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-20.pdf,0.00,0.00,241.17,254.85,0.00,0.00,234.35,258.70
2020-06-22 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-22.pdf,241.36,254.14,241.17,254.64,0.00,0.00,234.50,258.45
2020-06-23 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-23.pdf,240.24,252.98,240.05,253.48,0.00,0.00,233.25,257.30
2020-06-24 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-24.pdf,239.74,252.46,239.55,252.96,0.00,0.00,232.80,256.80
2020-06-25 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-25.pdf,239.68,252.77,239.49,253.27,0.00,0.00,232.75,257.00
2020-06-26 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-26.pdf,239.02,252.12,238.83,252.61,0.00,0.00,232.10,256.30
2020-06-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-29.pdf,239.59,252.30,239.40,252.80,0.00,0.00,232.70,256.55
2020-06-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/6/2020-06-30.pdf,239.11,251.80,238.92,252.30,0.00,0.00,232.35,256.00
2020-07-01 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-01.pdf,239.15,251.85,238.96,252.34,0.00,0.00,232.30,256.05
2020-07-02 14:20,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-02.pdf,236.98,249.55,236.78,250.04,0.00,0.00,230.20,253.85
2020-07-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-03.pdf,237.26,249.87,237.06,250.37,0.00,0.00,230.50,254.15
2020-07-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-04.pdf,0.00,0.00,236.24,249.83,0.00,0.00,229.65,253.60
2020-07-08 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-08.pdf,237.24,250.26,237.05,250.76,0.00,0.00,230.45,254.55
2020-07-09 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-09.pdf,237.42,250.04,237.22,250.53,0.00,0.00,230.80,254.30
2020-07-10 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-10.pdf,237.96,250.60,237.77,251.10,0.00,0.00,231.10,254.80
2020-07-13 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-13.pdf,238.21,250.83,238.02,251.33,0.00,0.00,231.40,255.15
2020-07-14 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-14.pdf,238.43,251.07,238.24,251.56,0.00,0.00,231.75,255.30
2020-07-15 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-15.pdf,238.69,251.33,238.50,251.83,0.00,0.00,232.05,255.65
2020-07-16 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-16.pdf,238.19,251.22,238.00,251.71,0.00,0.00,231.40,255.55
2020-07-17 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-17.pdf,238.31,250.93,238.12,251.43,0.00,0.00,231.40,255.15
2020-07-18 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-18.pdf,0.00,0.00,237.42,251.03,0.00,0.00,230.85,254.85
2020-07-20 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-20.pdf,237.48,250.51,237.29,251.01,0.00,0.00,230.85,254.80
2020-07-21 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-21.pdf,236.93,249.94,236.74,250.44,0.00,0.00,230.30,254.20
2020-07-22 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-22.pdf,236.80,249.37,236.61,249.87,0.00,0.00,230.05,253.65
2020-07-23 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-23.pdf,237.18,249.80,236.98,250.30,0.00,0.00,230.55,254.05
2020-07-24 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-24.pdf,238.11,251.18,237.92,251.68,0.00,0.00,231.25,255.40
2020-07-27 13:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-27.pdf,238.31,251.36,238.12,251.86,0.00,0.00,231.50,255.70
2020-07-28 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-28.pdf,238.20,251.24,238.00,251.74,0.00,0.00,231.55,255.55
2020-07-29 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-29.pdf,238.30,251.36,238.11,251.86,0.00,0.00,231.65,255.70
2020-07-30 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-30.pdf,238.36,251.42,238.17,251.92,0.00,0.00,231.50,255.70
2020-07-31 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/7/2020-07-31.pdf,238.49,251.56,238.30,252.06,0.00,0.00,231.85,255.90
2020-08-03 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-03.pdf,238.73,251.51,238.54,252.01,0.00,0.00,231.90,255.80
2020-08-04 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-04.pdf,239.48,252.20,239.29,252.70,0.00,0.00,232.70,256.55
2020-08-05 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-05.pdf,238.85,251.55,238.66,252.05,0.00,0.00,232.20,255.85
2020-08-06 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-06.pdf,238.64,251.34,238.45,251.84,0.00,0.00,231.75,255.55
2020-08-10 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-10.pdf,238.76,251.86,238.56,252.36,0.00,0.00,232.10,256.15
2020-08-11 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-11.pdf,238.46,251.52,238.27,252.02,0.00,0.00,231.80,255.80
2020-08-12 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-12.pdf,238.10,251.14,237.91,251.65,0.00,0.00,231.45,255.45
2020-08-13 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-13.pdf,238.20,251.25,238.01,251.75,0.00,0.00,231.35,255.50
2020-08-14 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-14.pdf,238.63,251.29,238.44,251.79,0.00,0.00,231.95,255.60
2020-08-25 12:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-25.pdf,236.89,249.56,236.70,250.06,0.00,0.00,230.25,253.70
2020-08-26 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-26.pdf,236.92,249.51,236.73,250.01,0.00,0.00,230.15,253.65
2020-08-27 12:15,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-27.pdf,235.61,248.55,235.42,249.05,0.00,0.00,229.00,252.65
2020-08-28 11:30,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-28.pdf,233.98,246.85,233.78,247.35,0.00,0.00,227.25,250.95
2020-08-29 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-29.pdf,0.00,0.00,233.23,246.77,0.00,0.00,226.70,250.35
2020-08-31 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/8/2020-08-31.pdf,234.91,247.50,234.72,248.00,0.00,0.00,228.15,251.60
2020-09-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-01.pdf,233.33,245.90,233.14,246.40,0.00,0.00,226.80,250.00
2020-09-02 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-02.pdf,233.14,245.97,232.94,246.47,0.00,0.00,226.45,250.05
2020-09-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-03.pdf,234.04,246.51,233.85,247.01,0.00,0.00,227.30,250.60
2020-09-04 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-04.pdf,234.14,246.61,233.94,247.11,0.00,0.00,227.55,250.70
2020-09-05 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-05.pdf,0.00,0.00,232.82,246.26,0.00,0.00,226.30,249.85
2020-09-07 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-07.pdf,232.91,245.73,232.72,246.23,0.00,0.00,226.35,249.80
2020-09-08 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-08.pdf,234.49,247.37,234.29,247.87,0.00,0.00,227.90,251.50
2020-09-09 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-09.pdf,234.36,247.24,234.16,247.74,0.00,0.00,227.80,251.35
2020-09-10 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-10.pdf,233.28,245.76,233.09,246.26,0.00,0.00,226.55,249.85
2020-09-11 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-11.pdf,233.92,246.78,233.73,247.28,0.00,0.00,227.20,250.90
2020-09-14 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-14.pdf,233.93,246.43,233.74,246.93,0.00,0.00,227.35,250.55
2020-09-15 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-15.pdf,234.00,246.47,233.81,246.97,0.00,0.00,227.25,250.55
2020-09-16 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-16.pdf,234.68,247.26,234.49,247.76,0.00,0.00,227.95,251.35
2020-09-17 09:50,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-17.pdf,235.11,247.63,234.92,248.13,0.00,0.00,228.35,251.75
2020-09-19 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-19.pdf,0.00,0.00,234.12,247.94,0.00,0.00,227.60,251.55
2020-09-21 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-21.pdf,234.06,246.57,233.87,247.07,0.00,0.00,227.25,250.80
2020-09-22 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-22.pdf,234.37,246.84,234.18,247.34,0.00,0.00,227.65,250.95
2020-09-23 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-23.pdf,234.06,246.93,233.87,247.43,0.00,0.00,227.40,251.10
2020-09-24 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-24.pdf,234.90,247.40,234.71,247.90,0.00,0.00,228.15,251.50
2020-09-25 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-25.pdf,234.87,247.37,234.68,247.87,0.00,0.00,228.15,251.50
2020-09-28 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-28.pdf,234.31,247.18,234.11,247.68,0.00,0.00,227.65,251.35
2020-09-29 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-29.pdf,234.50,247.38,234.31,247.88,0.00,0.00,227.95,251.50
2020-09-30 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/9/2020-09-30.pdf,234.90,247.40,234.71,247.90,0.00,0.00,228.15,251.50
2020-10-01 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/10/2020-10-01.pdf,234.29,246.76,234.10,247.26,0.00,0.00,227.55,251.00
2020-10-03 09:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/10/2020-10-03.pdf,0.00,0.00,232.67,246.10,0.00,0.00,226.15,249.70
2020-10-05 10:00,https://github.com/sahilgupta/sbi_forex_rates/blob/main/pdf_files/2020/10/2020-10-05.pdf,232.92,245.38,232.73,245.88,0.00,0.00,226.30,249.55
